,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,,,,
0,A,-0.710405641,-0.001999985,TRUE,C,-0.413949557,0.002000013,TRUE,"开启autorange_aperture_time_mode=AUTO, 但是未设置apertureTimeUnit=PLC",,,
1,A,-0.71798541,-0.001999987,TRUE,C,-0.421529982,0.002000014,TRUE,,,,
2,A,-0.725142616,-0.001999986,TRUE,C,-0.428686267,0.002000016,TRUE,,,,
3,A,-0.732855385,-0.001999985,TRUE,C,-0.436399538,0.002000015,TRUE,,,,
4,A,-0.740715375,-0.001999986,TRUE,C,-0.444259865,0.002000015,TRUE,,,,
5,A,-0.749310352,-0.001999985,TRUE,C,-0.452855687,0.002000016,TRUE,,,,
6,A,-0.757347396,-0.001999986,TRUE,C,-0.46089305,0.002000017,TRUE,,,,
7,A,-0.764727525,-0.001999984,TRUE,C,-0.468273213,0.002000012,TRUE,,,,
8,A,-0.772469153,-0.001999987,TRUE,C,-0.476014336,0.002000014,TRUE,,,,
9,A,-0.779433411,-0.001999983,TRUE,C,-0.482979291,0.002000009,TRUE,,,,
10,A,-0.767462677,-0.001999946,TRUE,C,-0.471007896,0.001999974,TRUE,,,,
11,A,-0.747413075,-0.001999943,TRUE,C,-0.450959712,0.001999973,TRUE,,,,
12,A,-0.727970757,-0.001999945,TRUE,C,-0.431518177,0.001999973,TRUE,,,,
13,A,-0.707847823,-0.001999945,TRUE,C,-0.411395132,0.001999973,TRUE,,,,
14,A,-0.687666615,-0.001999949,TRUE,C,-0.391214492,0.001999976,TRUE,,,,
15,A,-0.667723106,-0.001999952,TRUE,C,-0.371270565,0.001999976,TRUE,,,,
16,A,-0.647771372,-0.001999946,TRUE,C,-0.351318818,0.001999974,TRUE,,,,
17,A,-0.627611912,-0.001999947,TRUE,C,-0.331160224,0.001999975,TRUE,,,,
18,A,-0.608036594,-0.001999948,TRUE,C,-0.311584232,0.001999974,TRUE,,,,
19,A,-0.587758074,-0.001999948,TRUE,C,-0.291305086,0.001999971,TRUE,,,,
20,A,-0.568006957,-0.001999949,TRUE,C,-0.271559351,0.001999974,TRUE,,,,
21,A,-0.547914368,-0.00199995,TRUE,C,-0.251466076,0.001999975,TRUE,,,,
22,A,-0.527836613,-0.001999948,TRUE,C,-0.231387803,0.001999973,TRUE,,,,
23,A,-0.50803295,-0.001999946,TRUE,C,-0.211583919,0.001999972,TRUE,,,,
24,A,-0.488082433,-0.001999943,TRUE,C,-0.191633421,0.001999972,TRUE,,,,
25,A,-0.467568452,-0.001999945,TRUE,C,-0.171119437,0.001999973,TRUE,,,,
26,A,-0.448305415,-0.001999942,TRUE,C,-0.151856549,0.001999969,TRUE,,,,
27,A,-0.428110406,-0.001999948,TRUE,C,-0.131661531,0.001999973,TRUE,,,,
28,A,-0.407850063,-0.001999945,TRUE,C,-0.1114015,0.001999972,TRUE,,,,
29,A,-0.388306939,-0.001999946,TRUE,C,-0.091858653,0.001999971,TRUE,,,,
30,A,-0.367921172,-0.001999945,TRUE,C,-0.071472944,0.00199997,TRUE,,,,
31,A,-0.348207144,-0.001999947,TRUE,C,-0.051759175,0.001999972,TRUE,,,,
32,A,-0.329487325,-0.001999913,TRUE,C,-0.033039659,0.001999938,TRUE,,,,
33,A,-0.317948155,-0.001999465,TRUE,C,-0.021506558,0.001999489,TRUE,,,,
34,A,-0.30801809,-0.001996784,TRUE,C,-0.01161234,0.001996807,TRUE,,,,
35,A,-0.298044902,-0.001978946,TRUE,C,-0.001881098,0.00197897,TRUE,,,,
36,A,-0.280000377,-0.001082219,FALSE,C,6.93E-07,0.001082242,FALSE,,,,
37,A,-0.259992794,-0.000508381,FALSE,C,-1.82E-06,0.000511092,TRUE,,,,
38,A,-0.240000436,-0.000237551,FALSE,C,2.76E-07,0.000237581,FALSE,,,,
39,A,-0.21999988,-0.000110628,FALSE,C,5.26E-07,0.000110655,FALSE,,,,
40,A,-0.199994612,-5.14E-05,FALSE,C,3.04E-07,5.18E-05,FALSE,,,,
41,A,-0.180000246,-2.38E-05,FALSE,C,-6.96E-07,2.38E-05,FALSE,,,,
42,A,-0.160000471,-1.10E-05,FALSE,C,7.76E-07,1.11E-05,FALSE,,,,
43,A,-0.140000305,-5.09E-06,FALSE,C,-2.38E-07,5.12E-06,FALSE,,,,
44,A,-0.120000111,-2.34E-06,FALSE,C,3.46E-07,2.37E-06,FALSE,,,,
45,A,-0.100000239,-1.07E-06,FALSE,C,-1.54E-08,1.09E-06,FALSE,,,,
46,A,-0.079997856,-4.83E-07,FALSE,C,-4.18E-07,5.00E-07,FALSE,,,,
47,A,-0.060000423,-2.11E-07,FALSE,C,5.96E-07,2.35E-07,FALSE,,,,
48,A,-0.039999686,-8.51E-08,FALSE,C,-2.52E-07,1.11E-07,FALSE,,,,
49,A,-0.020000315,-2.70E-08,FALSE,C,-3.35E-07,5.19E-08,FALSE,,,,
50,A,1.16E-07,-3.39E-11,FALSE,C,1.51E-06,2.45E-08,FALSE,,,,
51,A,0.02000017,1.25E-08,FALSE,C,-7.09E-08,1.56E-08,FALSE,,,,
52,A,0.040000015,1.85E-08,FALSE,C,-3.63E-07,7.81E-09,FALSE,,,,
53,A,0.060000459,2.13E-08,FALSE,C,1.37E-07,4.74E-09,FALSE,,,,
54,A,0.080000095,2.28E-08,FALSE,C,9.58E-08,3.62E-09,FALSE,,,,
55,A,0.099999759,2.36E-08,FALSE,C,-2.65E-07,3.07E-09,FALSE,,,,
56,A,0.119999994,2.41E-08,FALSE,C,6.65E-07,1.67E-09,FALSE,,,,
57,A,0.140000272,2.44E-08,FALSE,C,1.93E-07,3.07E-09,FALSE,,,,
58,A,0.159999503,2.47E-08,FALSE,C,-1.13E-07,8.37E-10,FALSE,,,,
59,A,0.179999348,2.50E-08,FALSE,C,-2.93E-07,1.95E-09,FALSE,,,,
60,A,0.200000113,2.52E-08,FALSE,C,2.76E-07,1.95E-09,FALSE,,,,
61,A,0.219999665,2.54E-08,FALSE,C,-4.32E-08,2.23E-09,FALSE,,,,
62,A,0.239999859,2.57E-08,FALSE,C,-2.52E-07,1.12E-09,FALSE,,,,
63,A,0.259999565,2.59E-08,FALSE,C,4.02E-08,-5.58E-10,FALSE,,,,
64,A,0.28000072,2.61E-08,FALSE,C,-5.29E-07,-1.95E-09,FALSE,,,,
65,A,0.299999533,2.63E-08,FALSE,C,-9.87E-08,-1.95E-09,FALSE,,,,
66,A,0.31999995,2.65E-08,FALSE,C,3.18E-07,-1.67E-09,FALSE,,,,
67,A,0.340000506,2.67E-08,FALSE,C,3.32E-07,-2.23E-09,FALSE,,,,
68,A,0.360000003,2.69E-08,FALSE,C,6.10E-07,-5.58E-10,FALSE,,,,
69,A,0.380000461,2.71E-08,FALSE,C,1.51E-07,-1.95E-09,FALSE,,,,
70,A,0.399999497,2.73E-08,FALSE,C,4.57E-07,-2.51E-09,FALSE,,,,
71,A,0.420000332,2.75E-08,FALSE,C,-2.93E-07,-2.23E-09,FALSE,,,,
72,A,0.440001153,2.76E-08,FALSE,C,1.37E-07,-3.62E-09,FALSE,,,,
73,A,0.460000176,2.78E-08,FALSE,C,-1.54E-08,-3.35E-09,FALSE,,,,
74,A,0.48000023,2.80E-08,FALSE,C,-4.18E-07,-6.41E-09,FALSE,,,,
75,A,0.500000242,2.82E-08,FALSE,C,-1.54E-08,-4.18E-09,FALSE,,,,
76,A,0.519999892,2.84E-08,FALSE,C,2.35E-07,-6.13E-09,FALSE,,,,
77,A,0.539999653,2.85E-08,FALSE,C,-5.85E-07,-5.30E-09,FALSE,,,,
78,A,0.560000948,2.87E-08,FALSE,C,-1.40E-07,-8.09E-09,FALSE,,,,
79,A,0.579999859,2.89E-08,FALSE,C,-3.35E-07,-5.86E-09,FALSE,,,,
80,A,0.600000429,2.91E-08,FALSE,C,2.21E-07,-6.69E-09,FALSE,,,,
81,A,0.620000646,2.92E-08,FALSE,C,4.43E-07,-6.69E-09,FALSE,,,,
82,A,0.640000617,2.94E-08,FALSE,C,1.79E-07,-4.74E-09,FALSE,,,,
83,A,0.660000728,2.95E-08,FALSE,C,-1.48E-09,-8.09E-09,FALSE,,,,
84,A,0.679999445,2.97E-08,FALSE,C,1.08E-06,-9.20E-09,FALSE,,,,
85,A,0.699999834,2.99E-08,FALSE,C,6.10E-07,-8.64E-09,FALSE,,,,
86,A,0.719999666,3.00E-08,FALSE,C,8.32E-07,-7.81E-09,FALSE,,,,
87,A,0.740000334,3.02E-08,FALSE,C,-5.57E-07,-8.09E-09,FALSE,,,,
88,A,0.759999748,3.04E-08,FALSE,C,4.15E-07,-6.97E-09,FALSE,,,,
89,A,0.780000137,3.05E-08,FALSE,C,3.18E-07,-9.20E-09,FALSE,,,,
90,A,0.799999551,3.07E-08,FALSE,C,2.63E-08,-8.37E-09,FALSE,,,,
91,A,0.820000079,3.08E-08,FALSE,C,-1.68E-07,-6.97E-09,FALSE,,,,
92,A,0.840000608,3.09E-08,FALSE,C,-7.52E-07,-6.41E-09,FALSE,,,,
93,A,0.859999604,3.11E-08,FALSE,C,-4.60E-07,-7.81E-09,FALSE,,,,
94,A,0.879999157,3.12E-08,FALSE,C,1.65E-07,-6.69E-09,FALSE,,,,
95,A,0.900000104,3.14E-08,FALSE,C,1.79E-07,-6.97E-09,FALSE,,,,
96,A,0.919999935,3.15E-08,FALSE,C,-9.87E-08,-6.69E-09,FALSE,,,,
97,A,0.940000185,3.17E-08,FALSE,C,5.54E-07,-8.92E-09,FALSE,,,,
98,A,0.960000436,3.18E-08,FALSE,C,-5.70E-08,-6.13E-09,FALSE,,,,
99,A,0.979999988,3.19E-08,FALSE,C,4.01E-07,-1.06E-08,FALSE,,,,
100,A,0.99999996,3.21E-08,FALSE,C,2.76E-07,-6.69E-09,FALSE,,,,
,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,,,summary,
0,A,-0.574176697,-0.002000023,TRUE,C,-0.278369623,0.00200005,TRUE,0.002000023,0.00200005,2.73342E-08,开启autorange_aperture_time_mode=Auto 并且设置apertureTimeUnit=PLC
1,A,-0.575664936,-0.001999953,TRUE,C,-0.279849431,0.001999994,TRUE,0.001999953,0.001999994,4.1572E-08,
2,A,-0.577282131,-0.002000023,TRUE,C,-0.281476491,0.002000022,TRUE,0.002000023,0.002000022,5.50182E-10,
3,A,-0.578700663,-0.001999974,TRUE,C,-0.282883716,0.002000001,TRUE,0.001999974,0.002000001,2.75411E-08,
4,A,-0.580506067,-0.00199996,TRUE,C,-0.284696576,0.002000015,TRUE,0.00199996,0.002000015,5.54847E-08,
5,A,-0.582485737,-0.001999974,TRUE,C,-0.286684819,0.00199996,TRUE,0.001999974,0.00199996,1.42855E-08,
6,A,-0.584228405,-0.002000009,TRUE,C,-0.288413635,0.002000022,TRUE,0.002000009,0.002000022,1.34511E-08,
7,A,-0.585692246,-0.001999953,TRUE,C,-0.289889624,0.002000029,TRUE,0.001999953,0.002000029,7.64275E-08,
8,A,-0.587609181,-0.001999939,TRUE,C,-0.291796253,0.00199996,TRUE,0.001999939,0.00199996,2.07178E-08,
9,A,-0.589675985,-0.001999974,TRUE,C,-0.29388139,0.002000022,TRUE,0.001999974,0.002000022,4.84544E-08,
10,A,-0.591115428,-0.002000002,TRUE,C,-0.295313619,0.002000043,TRUE,0.002000002,0.002000043,4.13651E-08,
11,A,-0.59273611,-0.00199996,TRUE,C,-0.296939637,0.002000043,TRUE,0.00199996,0.002000043,8.33691E-08,
12,A,-0.594921415,-0.001999967,TRUE,C,-0.299127225,0.001999988,TRUE,0.001999967,0.001999988,2.05996E-08,
13,A,-0.596705907,-0.002000009,TRUE,C,-0.300889382,0.002000022,TRUE,0.002000009,0.002000022,1.34511E-08,
14,A,-0.598385839,-0.002000016,TRUE,C,-0.302596318,0.002000029,TRUE,0.002000016,0.002000029,1.34216E-08,
15,A,-0.600020461,-0.001999995,TRUE,C,-0.304210181,0.002000029,TRUE,0.001999995,0.002000029,3.44236E-08,
16,A,-0.601749188,-0.002000023,TRUE,C,-0.305949416,0.002000029,TRUE,0.002000023,0.002000029,6.42092E-09,
17,A,-0.603094527,-0.002000023,TRUE,C,-0.307285446,0.002000057,TRUE,0.002000023,0.002000057,3.43053E-08,
18,A,-0.603805536,-0.00200003,TRUE,C,-0.307995657,0.002000022,TRUE,0.00200003,0.002000022,7.55084E-09,
19,A,-0.59362487,-0.001999799,TRUE,C,-0.297827314,0.001999806,TRUE,0.001999799,0.001999806,7.36668E-09,
20,A,-0.574842715,-0.001999869,TRUE,C,-0.279052398,0.001999876,TRUE,0.001999869,0.001999876,7.07113E-09,
21,A,-0.553709014,-0.001999813,TRUE,C,-0.257915206,0.001999869,TRUE,0.001999813,0.001999869,5.61053E-08,
22,A,-0.534000911,-0.001999862,TRUE,C,-0.238213022,0.001999869,TRUE,0.001999862,0.001999869,7.10069E-09,
23,A,-0.514430488,-0.001999869,TRUE,C,-0.218638989,0.001999904,TRUE,0.001999869,0.001999904,3.49556E-08,
24,A,-0.494138204,-0.001999967,TRUE,C,-0.19835023,0.002000015,TRUE,0.001999967,0.002000015,4.8484E-08,
25,A,-0.474654223,-0.001999862,TRUE,C,-0.178864408,0.00199989,TRUE,0.001999862,0.00199989,2.8014E-08,
26,A,-0.454389824,-0.001999855,TRUE,C,-0.158604822,0.001999855,TRUE,0.001999855,0.001999855,1.59136E-10,
27,A,-0.434660459,-0.00199989,TRUE,C,-0.138876939,0.001999932,TRUE,0.00199989,0.001999932,4.1838E-08,
28,A,-0.414882644,-0.001999911,TRUE,C,-0.119091057,0.001999918,TRUE,0.001999911,0.001999918,6.8938E-09,
29,A,-0.394665997,-0.00199982,TRUE,C,-0.098881134,0.001999799,TRUE,0.00199982,0.001999799,2.06064E-08,
30,A,-0.373397405,-0.001999855,TRUE,C,-0.077612319,0.001999897,TRUE,0.001999855,0.001999897,4.19858E-08,
31,A,-0.354484012,-0.001999715,TRUE,C,-0.058705779,0.001999744,TRUE,0.001999715,0.001999744,2.86347E-08,
32,A,-0.334948096,-0.001999848,TRUE,C,-0.039164738,0.001999855,TRUE,0.001999848,0.001999855,7.1598E-09,
33,A,-0.317833605,-0.001999477,TRUE,C,-0.022053695,0.001999513,TRUE,0.001999477,0.001999513,3.66106E-08,
34,A,-0.308090395,-0.001997181,TRUE,C,-0.012345861,0.001997185,TRUE,0.001997181,0.001997185,4.47801E-09,
35,A,-0.297671681,-0.001980722,TRUE,C,-0.002150777,0.001980726,TRUE,0.001980722,0.001980726,4.25057E-09,
36,A,-0.280011001,-0.001110799,FALSE,C,-1.04E-06,0.001110809,FALSE,0.001110799,0.001110809,1.00319E-08,
37,A,-0.260006973,-0.000522338,FALSE,C,0.00016392,0.00052822,FALSE,0.000522338,0.00052822,5.88194E-06,
38,A,-0.240034664,-0.000245256,FALSE,C,6.42E-05,0.000245252,FALSE,0.000245256,0.000245252,3.17719E-09,
39,A,-0.219996478,-0.000113899,FALSE,C,5.90E-06,0.000113899,FALSE,0.000113899,0.000113899,5.40313E-10,
40,A,-0.200009181,-5.30E-05,FALSE,C,0.000691803,5.59E-05,FALSE,5.29507E-05,5.58556E-05,2.90495E-06,
41,A,-0.18039728,-2.53E-05,FALSE,C,0.000366044,2.53E-05,FALSE,2.53233E-05,2.53229E-05,3.97882E-10,
42,A,-0.159992761,-1.14E-05,FALSE,C,2.01E-05,1.14E-05,FALSE,1.13964E-05,1.13966E-05,2.68847E-10,
43,A,-0.139999887,-5.27E-06,FALSE,C,7.99E-06,5.27E-06,FALSE,5.26687E-06,5.2668E-06,6.95383E-11,
44,A,-0.11996414,-2.42E-06,FALSE,C,-5.21E-06,2.42E-06,FALSE,2.42113E-06,2.4215E-06,3.76539E-10,
45,A,-0.100000894,-1.11E-06,FALSE,C,-9.73E-06,1.11E-06,FALSE,1.10938E-06,1.10956E-06,1.80689E-10,
46,A,-0.080000352,-5.01E-07,FALSE,C,-0.002275454,4.17E-07,FALSE,5.00621E-07,4.16598E-07,8.40229E-08,
47,A,-0.060890024,-2.36E-07,FALSE,C,0.000891495,2.36E-07,FALSE,2.35697E-07,2.35651E-07,4.58063E-11,
48,A,-0.040093726,-8.93E-08,FALSE,C,0.000142735,8.93E-08,FALSE,8.92598E-08,8.92809E-08,2.11076E-11,
49,A,-0.020003605,-2.81E-08,FALSE,C,-7.99E-06,2.81E-08,FALSE,2.80794E-08,2.80636E-08,1.58221E-11,
50,A,-6.23E-07,-5.59E-11,FALSE,C,8.86E-05,2.03E-09,FALSE,5.58784E-11,2.031E-09,1.97512E-09,
51,A,0.009977514,4.14E-09,FALSE,C,0.004635296,-2.59E-09,FALSE,4.1421E-09,2.5908E-09,1.5513E-09,
52,A,0.039980942,1.92E-08,FALSE,C,-4.52E-06,-1.79E-08,FALSE,1.92205E-08,1.78541E-08,1.36643E-09,
53,A,0.060003792,2.22E-08,FALSE,C,1.88E-05,-2.22E-08,FALSE,2.2165E-08,2.22003E-08,3.5349E-11,
54,A,0.080003288,2.37E-08,FALSE,C,1.35E-05,-2.37E-08,FALSE,2.37197E-08,2.37144E-08,5.25343E-12,
55,A,0.099982917,2.45E-08,FALSE,C,-4.17E-06,-2.46E-08,FALSE,2.45445E-08,2.4569E-08,2.45142E-11,
56,A,0.12001204,2.51E-08,FALSE,C,5.56E-06,-2.51E-08,FALSE,2.51048E-08,2.5131E-08,2.62432E-11,
57,A,0.139986441,2.55E-08,FALSE,C,-2.36E-05,-2.55E-08,FALSE,2.55437E-08,2.5532E-08,1.16488E-11,
58,A,0.159985937,2.58E-08,FALSE,C,1.39E-06,-2.58E-08,FALSE,2.57786E-08,2.5837E-08,5.83445E-11,
59,A,0.180011575,2.60E-08,FALSE,C,-1.22E-05,-2.60E-08,FALSE,2.60105E-08,2.60383E-08,2.77224E-11,
60,A,0.199970291,2.63E-08,FALSE,C,-8.34E-06,-2.63E-08,FALSE,2.62805E-08,2.62821E-08,1.54643E-12,
61,A,0.220012311,2.65E-08,FALSE,C,-2.29E-05,-2.65E-08,FALSE,2.65303E-08,2.64981E-08,3.22652E-11,
62,A,0.23999438,2.68E-08,FALSE,C,-2.74E-05,-2.67E-08,FALSE,2.68105E-08,2.67102E-08,1.00295E-10,
63,A,0.260009561,2.70E-08,FALSE,C,-1.04E-05,-2.69E-08,FALSE,2.69622E-08,2.69006E-08,6.16057E-11,
64,A,0.279991978,2.72E-08,FALSE,C,-1.48E-09,-2.71E-08,FALSE,2.72042E-08,2.71142E-08,8.99582E-11,
65,A,0.300013085,2.74E-08,FALSE,C,-3.99E-05,-2.74E-08,FALSE,2.74353E-08,2.73658E-08,6.94863E-11,
66,A,0.319995851,2.76E-08,FALSE,C,3.09E-05,-2.76E-08,FALSE,2.76158E-08,2.75586E-08,5.72663E-11,
67,A,0.339993953,2.79E-08,FALSE,C,1.60E-05,-2.78E-08,FALSE,2.78555E-08,2.77985E-08,5.69653E-11,
68,A,0.359992055,2.79E-08,FALSE,C,2.71E-05,-2.79E-08,FALSE,2.79465E-08,2.79232E-08,2.33791E-11,
69,A,0.38000654,2.82E-08,FALSE,C,1.11E-05,-2.83E-08,FALSE,2.82438E-08,2.82638E-08,1.99712E-11,
70,A,0.400000459,2.85E-08,FALSE,C,6.25E-06,-2.85E-08,FALSE,2.84765E-08,2.84797E-08,3.27864E-12,
71,A,0.419992985,2.85E-08,FALSE,C,2.43E-06,-2.85E-08,FALSE,2.85465E-08,2.85448E-08,1.73034E-12,
72,A,0.439988647,2.87E-08,FALSE,C,-1.46E-05,-2.88E-08,FALSE,2.87247E-08,2.87661E-08,4.14655E-11,
73,A,0.459996857,2.89E-08,FALSE,C,-1.18E-05,-2.90E-08,FALSE,2.89387E-08,2.89821E-08,4.34482E-11,
74,A,0.47997544,2.92E-08,FALSE,C,5.90E-06,-2.93E-08,FALSE,2.91768E-08,2.92538E-08,7.70432E-11,
75,A,0.500000381,2.94E-08,FALSE,C,-1.48E-09,-2.94E-08,FALSE,2.9362E-08,2.93916E-08,2.9634E-11,
76,A,0.520003015,2.95E-08,FALSE,C,-1.94E-05,-2.96E-08,FALSE,2.95378E-08,2.95565E-08,1.86557E-11,
77,A,0.540008088,2.97E-08,FALSE,C,8.33E-06,-2.98E-08,FALSE,2.97331E-08,2.97794E-08,4.62806E-11,
78,A,0.559995037,2.99E-08,FALSE,C,-9.73E-06,-2.99E-08,FALSE,2.98794E-08,2.98917E-08,1.22335E-11,
79,A,0.580008127,3.01E-08,FALSE,C,-4.17E-06,-3.01E-08,FALSE,3.01277E-08,3.00914E-08,3.62777E-11,
80,A,0.599998212,3.02E-08,FALSE,C,-9.03E-06,-3.02E-08,FALSE,3.0228E-08,3.02377E-08,9.64531E-12,
81,A,0.619996882,3.05E-08,FALSE,C,-1.04E-06,-3.05E-08,FALSE,3.05167E-08,3.04931E-08,2.35947E-11,
82,A,0.640020135,3.07E-08,FALSE,C,-1.01E-05,-3.07E-08,FALSE,3.0684E-08,3.06843E-08,3.05573E-13,
83,A,0.660022477,3.08E-08,FALSE,C,-3.47E-06,-3.08E-08,FALSE,3.08132E-08,3.08198E-08,6.60018E-12,
84,A,0.680003906,3.10E-08,FALSE,C,3.82E-06,-3.09E-08,FALSE,3.09533E-08,3.0929E-08,2.43182E-11,
85,A,0.700020188,3.11E-08,FALSE,C,-4.17E-06,-3.11E-08,FALSE,3.1112E-08,3.1138E-08,2.59456E-11,
86,A,0.720001618,3.12E-08,FALSE,C,9.03E-06,-3.12E-08,FALSE,3.12451E-08,3.12293E-08,1.57735E-11,
87,A,0.739986532,3.14E-08,FALSE,C,8.68E-06,-3.14E-08,FALSE,3.13906E-08,3.13671E-08,2.34976E-11,
88,A,0.760013271,3.16E-08,FALSE,C,2.57E-05,-3.16E-08,FALSE,3.15789E-08,3.15893E-08,1.03565E-11,
89,A,0.780022583,3.17E-08,FALSE,C,1.28E-05,-3.17E-08,FALSE,3.17392E-08,3.16953E-08,4.38898E-11,
90,A,0.800007497,3.18E-08,FALSE,C,-6.95E-06,-3.18E-08,FALSE,3.18474E-08,3.183E-08,1.73596E-11,
91,A,0.819995897,3.20E-08,FALSE,C,6.25E-06,-3.20E-08,FALSE,3.20201E-08,3.20227E-08,2.64188E-12,
92,A,0.840008694,3.22E-08,FALSE,C,-1.29E-05,-3.22E-08,FALSE,3.2224E-08,3.21845E-08,3.94458E-11,
93,A,0.86000755,3.23E-08,FALSE,C,4.17E-06,-3.23E-08,FALSE,3.23065E-08,3.23177E-08,1.12149E-11,
94,A,0.880020347,3.24E-08,FALSE,C,-7.99E-06,-3.24E-08,FALSE,3.24481E-08,3.244E-08,8.10025E-12,
95,A,0.900015718,3.27E-08,FALSE,C,1.28E-05,-3.26E-08,FALSE,3.26698E-08,3.26498E-08,2.00916E-11,
96,A,0.919990177,3.27E-08,FALSE,C,2.36E-05,-3.27E-08,FALSE,3.27266E-08,3.27357E-08,9.02822E-12,
97,A,0.94001343,3.29E-08,FALSE,C,1.73E-06,-3.29E-08,FALSE,3.29469E-08,3.29354E-08,1.147E-11,
98,A,0.9600088,3.30E-08,FALSE,C,1.08E-05,-3.30E-08,FALSE,3.30472E-08,3.30182E-08,2.90223E-11,
99,A,0.979976288,3.31E-08,FALSE,C,-4.17E-06,-3.31E-08,FALSE,3.31492E-08,3.31467E-08,2.45966E-12,
100,A,0.999992571,3.33E-08,FALSE,,,,,3.33297E-08,0,3.33297E-08,
